from,to,bdm_value,information_loss
V1,V9,570.7895204,48.03931781
V22,V31,572.8754702,47.07681371
V14,V15,571.345391,25.83811324
V29,V30,526.3114732,25.41590393
V11,V12,549.4894841,25.37410581
V1,V10,572.3945124,24.86130685
V1,V2,548.9766852,3.561270585
V1,V4,572.2099289,3.005399988
V11,V13,572.2099289,2.140862083
V12,V14,572.3945124,2.140862083
V13,V30,548.5126777,1.956278623
V1,V22,573.0391335,1.956278623
V1,V3,573.5644374,1.475320752
V15,V16,573.5644374,1.311657493
V31,V32,527.2739773,1.019771813
V16,V17,573.5644374,0.786353621
V20,V21,573.5644374,0.786353621
V24,V25,548.9348871,0.786353621
V28,V29,573.3310192,0.786353621
